date,day_of_the_week,daily_step_count,perceived_stress_level
4/20/2026,Monday,7222,2
4/21/2026,Tuesday,7619,2
4/22/2026,Wednesday,13364,3
4/23/2026,Thursday,7062,3
4/24/2026,Friday,9170,3
4/25/2026,Saturday,2314,4
4/26/2026,Sunday,12837,2
4/27/2026,Monday,5352,4
4/28/2026,Tuesday,6818,2
4/29/2026,Wednesday,12264,3
4/30/2026,Thursday,7827,4
5/1/2026,Friday,11785,2
5/2/2026,Saturday,3776,3
5/3/2026,Sunday,11781,1
5/4/2026,Monday,7501,1
5/5/2026,Tuesday,9729,2
5/6/2026,Wednesday,13892,4
5/7/2026,Thursday,6894,3
5/8/2026,Friday,12246,2
5/9/2026,Saturday,5770,1
5/10/2026,Sunday,12061,1
5/11/2026,Monday,11599,1
5/12/2026,Tuesday,7519,1
5/13/2026,Wednesday,14851,1
5/14/2026,Thursday,10650,1
5/15/2026,Friday,15924,1
5/16/2026,Saturday,5270,4
5/17/2026,Sunday,12876,2
5/18/2026,Monday,8377,3
5/19/2026,Tuesday,9398,1
5/20/2026,Wednesday,6844,1
5/21/2026,Thursday,8025,4
5/22/2026,Friday,11994,2
5/23/2026,Saturday,8601,2
5/24/2026,Sunday,14643,1
5/25/2026,Monday,6153,4
5/26/2026,Tuesday,7659,4
5/27/2026,Wednesday,5818,3
5/28/2026,Thursday,6943,3
5/29/2026,Friday,12411,1
5/30/2026,Saturday,4510,3
5/31/2026,Sunday,12648,3
6/1/2026,Monday,2882,3
6/2/2026,Tuesday,6426,3
6/3/2026,Wednesday,9121,3
